neighbourhood group,room type,mean,median,count,std,coefficient_of_variation
Bronx,Entire home/apt,744.2679097154073,736.0,1019,391.803110838491,0.5264275212245929
Bronx,Private room,759.0911408540471,780.0,1569,388.4318256040935,0.5117064403716688
Bronx,Shared room,720.2649572649573,730.0,117,388.25494630511287,0.5390446146088003
Brooklyn,Entire home/apt,750.3587745360674,749.0,20531,399.24280531653426,0.5320692165736032
Brooklyn,Hotel room,883.125,1003.0,8,348.6461314857803,0.3947868438621716
Brooklyn,Private room,748.7216853877471,746.0,20387,399.39757016586253,0.5334392978868016
Brooklyn,Shared room,759.6548780487805,794.0,820,408.4800787829198,0.5377179698129835
Manhattan,Entire home/apt,746.0763257575758,744.0,26400,398.5263801807522,0.5341630157961161
Manhattan,Hotel room,795.52,756.5,100,388.2832580537674,0.48808736179325146
Manhattan,Private room,743.0503871205605,743.0,16274,398.42064785788614,0.5361960033448473
Manhattan,Shared room,757.4092920353983,768.0,904,408.5234853139992,0.5393695187131483
Not Provided,Entire home/apt,831.4,761.5,10,338.9215576239172,0.40765162090921
Not Provided,Private room,767.0555555555555,839.5,18,443.39856884035294,0.5780527441968822
Queens,Entire home/apt,750.6861484511982,748.0,5133,403.9246993929043,0.5380740010006503
Queens,Hotel room,519.875,441.0,8,290.43142170620195,0.5586562571891357
Queens,Private room,756.0120310478654,752.0,7730,400.8024038603557,0.5301534729610403
Queens,Shared room,774.353591160221,791.5,362,408.16499277933946,0.5271041516935205
Staten Island,Entire home/apt,767.6723044397463,799.0,473,390.0114193438686,0.5080441447324353
Staten Island,Private room,723.4935344827586,706.0,464,394.58220784597427,0.5453845667440135
Staten Island,Shared room,858.6666666666666,816.0,15,332.47849912581165,0.387203221031613
brookln,Private room,696.0,696.0,1,,
manhatan,Private room,0.0,0.0,1,,
