Columns,Min,Max,Mean,Std Dev,Skewness,Kurtosis
id,1001254.0,57367417.0,29156003.666116234,16254657.480216023,0.0024754757745688786,-1.1978636840252712
host id,123600518.0,98763129024.0,49245254328.97566,28538297870.39151,0.006633006951209457,-1.2019764806907767
lat,40.49979,40.91697,40.72809010157186,0.05587004579901862,0.23063335994321502,0.1468820773024797
long,-74.24984,-73.70522,-73.94964700881957,0.04952233061831379,1.2440050530989997,4.343589728191398
Construction year,0.0,2022.0,2008.3772277808177,91.03409325056279,-21.928438078667213,480.81404240680973
price,50.0,1200.0,625.3007113265066,331.677433023991,0.001274742786805565,-1.1942302934065179
service fee,0.0,240.0,124.74782107402486,66.53149950182045,-0.0006421895517746008,-1.190358748151675
minimum nights,-1223.0,5645.0,8.105096537168764,30.498318022200944,87.02915934843978,13699.711064624591
number of reviews,0.0,1024.0,27.43811068553115,49.49059443198766,3.8443767152505703,25.08978588432101
reviews per month,0.0,90.0,1.1621589931994059,1.6819545053133864,6.961821266292798,217.0694630891937
review rate number,0.0,5.0,3.268897053075901,1.2956343357503808,-0.16225379931252218,-1.0710881030971955
calculated host listings count,0.0,332.0,7.903023137653404,32.16522269024733,7.240799904610542,59.002384387957555
availability 365,-10.0,3677.0,140.50081099038536,135.4523154581724,0.649184952722482,3.256241775735654
total cost,0.0,1440.0,748.4833014148362,399.17160070853123,-0.0006850924297494678,-1.1904806405115254
